User_ID,Team,Timestamp,Researcher_name,Positiion_in_list,Query,Number_of_keywords
NOSO,yellow,11/11/19 19:35,ioannis vlahavas,3,"Artificial intelligence,Machine learning,Data mining",3
TYNN,yellow,11/11/19 19:35,todd austin,5,computer architecture cyber security penetration testing,0
ROGI,blue,11/11/19 19:35,frank wolter,15,artifical intelligence,0
C5ZL,blue,11/11/19 19:35,john hennessy,3,"Computer architecture,Instruction scheduling,Transactional memory",3
45UW,blue,11/11/19 19:35,klaus-robert m ller,2,"Computer architecture,Parallel computing,Operating system,Machine learning,Artificial intelligence,Neural network",6
C2MH,red,11/11/19 19:35,marisa lopez-vallejo,4,computer architecture,0
M3VR,blue,11/11/19 19:35,klaus-robert m ller,12,machine learning and artificial intelligence,0
JNMM,red,11/11/19 19:35,stan franklin,1,architecture google,0
ROGI,blue,11/11/19 19:35,prabhas chongstitvatana,4,artifical intelligence,0
M3VR,blue,11/11/19 19:35,francisco herrera,13,machine learning and artificial intelligence,0
45UW,blue,11/11/19 19:35,george e. dahl,1,"Computer architecture,Parallel computing,Operating system,Machine learning,Artificial intelligence,Neural network",6
C5ZL,blue,11/11/19 19:35,harold w. trey cain,3,"Computer architecture,Instruction scheduling,Transactional memory,Programming language",4
JNMM,red,11/11/19 19:35,christian lebiere,3,architecture google,0
IKBJ,yellow,11/11/19 19:35,michael papamichael,17,architecture,0
2H6O,red,11/11/19 19:35,tim finin,1,model,0
LKLR,green,11/11/19 19:35,pedro trancoso,3,cloud computing,0
2H6O,red,11/11/19 19:35,tomas mikolov,2,model,0
ROGI,blue,11/11/19 19:35,nuno lau,5,artifical intelligence,0
C5ZL,blue,11/11/19 19:35,harold w. trey cain,3,"Computer architecture,Instruction scheduling,Transactional memory,Programming language",4
TDFS,blue,11/11/19 19:35,todd austin,2,"Network monitoring,Wireless network,Computer security",3
2H6O,red,11/11/19 19:35,jaime carbonell,3,model,0
OAEG,blue,11/11/19 19:35,rodolfo azevedo,11,Computer architecture,1
TDFS,blue,11/11/19 19:35,todd austin,2,"Network monitoring,Wireless network,Computer security",3
OAEG,blue,11/11/19 19:35,mingyu chen ( ),9,Computer architecture,1
OJWB,red,11/11/19 19:35,eric li,3,computer archetecture,0
ROGI,blue,11/11/19 19:35,john duchi,8,artifical intelligence,0
QDRT,green,11/11/19 19:35,reid g. smith,14,artificial intellegence,0
OAEG,blue,11/11/19 19:35,vladimir kiriansky,7,Computer architecture,1
TYNN,yellow,11/11/19 19:35,filippo mantovani,6,computer architecture cyber security penetration testing,0
OAEG,blue,11/11/19 19:35,christopher batten,5,Computer architecture,1
FGGG,blue,11/11/19 19:35,ruben s. montero,1,"Information science,Cloud computing,Computer architecture,Power management",4
OH12,red,11/11/19 19:35,klaus-robert m ller,2,"Artificial intelligence,Machine learning,Deep learning,Neural network,Pattern recognition",5
JNMM,red,11/11/19 19:35,christian lebiere,3,architecture google,0
OAEG,blue,11/11/19 19:36,susan j eggers,8,Computer architecture,1
2H6O,red,11/11/19 19:36,qiang yang,1,deep learning,0
NOSO,yellow,11/11/19 19:36,salvador garc a,5,"Artificial intelligence,Machine learning,Data mining",3
8IVJ,yellow,11/11/19 19:36,gerhard widmer,1,music,0
2H6O,red,11/11/19 19:36,dit-yan yeung,2,deep learning,0
NOSO,yellow,11/11/19 19:36,pedro domingos,6,"Artificial intelligence,Machine learning,Data mining",3
2H6O,red,11/11/19 19:36,hugo larochelle,3,deep learning,0
JNMM,red,11/11/19 19:36,michael papamichael,18,architecture google,0
C5ZL,blue,11/11/19 19:36,harold w. trey cain,3,"Computer architecture,Instruction scheduling,Transactional memory,Programming language,Machine learning",5
2H6O,red,11/11/19 19:36,klaus-robert m ller,4,deep learning,0
JNMM,red,11/11/19 19:36,michael papamichael,18,architecture google,0
QDRT,green,11/11/19 19:36,sophia ananiadou,15,artificial intellegence,0
2H6O,red,11/11/19 19:36,dit-yan yeung,2,deep learning,0
TYNN,yellow,11/11/19 19:36,robert nm watson,13,computer architecture cyber security penetration testing,0
C2MH,red,11/11/19 19:36,shuangchen li,14,Computer Architecture,0
CVVU,yellow,11/11/19 19:36,eric li,2,Computer Science,0
ZUMP,blue,11/11/19 19:36,gianni a. di caro,1,Artificial Intelligence,0
D49Q,red,11/11/19 19:36,martin herbordt,1,computer architech,0
C5ZL,blue,11/11/19 19:36,michael l. scott,4,"Computer architecture,Instruction scheduling,Transactional memory,Programming language,Machine learning",5
D49Q,red,11/11/19 19:36,martin herbordt,1,computer architech,0
2H6O,red,11/11/19 19:36,quoc v. le,2,machine learning,0
5MGY,yellow,11/11/19 19:36,reid g. smith,1,Artificial intelligence,1
WOTF,green,11/11/19 19:36,tushar chandra,3,"Computer architecture,Machine learning,Artificial intelligence,Computer vision",4
M3VR,blue,11/11/19 19:36,dit-yan yeung,4,machine learning and artificial intelligence,0
D49Q,red,11/11/19 19:36,charles weems,4,computer architech,0
FGGG,blue,11/11/19 19:36,christos kozyrakis,19,"Information science,Cloud computing,Computer architecture,Power management",4
JNMM,red,11/11/19 19:36,jonathan krause,20,architecture google,0
TDFS,blue,11/11/19 19:36,jakub szefer,7,"Network monitoring,Wireless network,Computer security",3
OAEG,blue,11/11/19 19:37,karthikeyan sankaralingam,2,Computer architecture,1
9HVH,red,11/11/19 19:37,martin herbordt,1,computer architecture,0
NP3J,green,11/11/19 19:37,peter norvig,1,"Computer architecture,Machine learning,Artificial intelligence",3
9P3N,green,11/11/19 19:37,peter norvig,1,"Computer architecture,Machine learning,Artificial intelligence",3
ZUMP,blue,11/11/19 19:37,alcherio martinoli,2,Artificial Intelligence,0
QDRT,green,11/11/19 19:37,pascal poupart,18,artificial intellegence,0
2H6O,red,11/11/19 19:37,dit-yan yeung,4,machine learning,0
M3VR,blue,11/11/19 19:37,alcherio martinoli,8,machine learning and artificial intelligence,0
LKLR,green,11/11/19 19:37,igor l. markov,1,web design,0
JNMM,red,11/11/19 19:37,john illingworth,10,architecture google,0
NP3J,green,11/11/19 19:37,zhi-hua zhou,2,"Computer architecture,Machine learning,Artificial intelligence",3
9P3N,green,11/11/19 19:37,john hennessy,1,"Computer architecture,Machine learning,Artificial intelligence",3
SK9V,green,11/11/19 19:37,zoubin ghahramani,1,ai statistics,0
C5ZL,blue,11/11/19 19:37,r. iris bahar,9,"Computer architecture,Instruction scheduling,Transactional memory,Programming language,Machine learning",5
TYNN,yellow,11/11/19 19:37,omer khan,16,computer architecture cyber security penetration testing,0
NP3J,green,11/11/19 19:37,salvador garc a,2,"Computer architecture,Machine learning,Artificial intelligence,Data mining",4
OH12,red,11/11/19 19:37,peter norvig,3,"Artificial intelligence,Machine learning,Deep learning,Pattern recognition",4
FDGO,red,11/11/19 19:37,martin herbordt,1,computer architecture and related topics,0
2H6O,red,11/11/19 19:37,klaus-robert m ller,3,machine learning,0
5ITM,green,11/11/19 19:37,vicen torra,1,"Data model,Computer architecture,Data analysis",3
NOSO,yellow,11/11/19 19:37,zhi-hua zhou,3,"Artificial intelligence,Machine learning,Data mining",3
NP3J,green,11/11/19 19:37,zhi-hua zhou,3,"Computer architecture,Machine learning,Artificial intelligence,Data mining",4
NOSO,yellow,11/11/19 19:37,salvador garc a,2,"Artificial intelligence,Machine learning,Data mining",3
IKBJ,yellow,11/11/19 19:37,ali ziya alkar,11,architecture,0
2H6O,red,11/11/19 19:37,gennady pekhimenko,15,machine learning,0
2H6O,red,11/11/19 19:37,qiang yang,5,machine learning,0
TDFS,blue,11/11/19 19:37,benjamin c. lee,6,"Network monitoring,Wireless network,Computer security",3
5MGY,yellow,11/11/19 19:37,aaron sloman,3,"Artificial intelligence,Information management,Information discovery,Knowledge management",4
TYNN,yellow,11/11/19 19:38,marisa lopez-vallejo,17,computer architecture cyber security penetration testing,0
ES3R,yellow,11/11/19 19:38,peter norvig,1,"Artificial intelligence,Machine learning",2
TDFS,blue,11/11/19 19:38,ruby b. lee,4,"Network monitoring,Wireless network,Computer security",3
NP3J,green,11/11/19 19:38,ioannis vlahavas,1,"Computer architecture,Machine learning,Artificial intelligence,Data mining,Deep learning",5
5ITM,green,11/11/19 19:38,boris motik,4,"Data model,Computer architecture,Data analysis",3
FGGG,blue,11/11/19 19:38,karthikeyan sankaralingam,10,"Information science,Cloud computing,Computer architecture,Power management",4
TDFS,blue,11/11/19 19:38,ruby b. lee,4,"Network monitoring,Wireless network,Computer security",3
9P3N,green,11/11/19 19:38,peter norvig,2,"Computer architecture,Machine learning,Artificial intelligence,Computer vision",4
NOSO,yellow,11/11/19 19:38,pedro domingos,5,"Artificial intelligence,Machine learning,Data mining",3
TYNN,yellow,11/11/19 19:38,tim finin,12,computer architecture cyber security penetration testing,0
N7P0,red,11/11/19 19:38,david meisner,1,computer architecture and data science,0
NOSO,yellow,11/11/19 19:38,luc de raedt,6,"Artificial intelligence,Machine learning,Data mining",3
ZUMP,blue,11/11/19 19:38,pawan sinha,10,artificial intelligence,0
LKLR,green,11/11/19 19:38,igor l. markov,1,web design,0
ES3R,yellow,11/11/19 19:38,zhi-hua zhou,2,"Artificial intelligence,Machine learning",2
FDGO,red,11/11/19 19:38,eric li,2,computer architecture and related topics,0
SK9V,green,11/11/19 19:38,timothy baldwin,9,artificial intelligence,0
N7P0,red,11/11/19 19:38,jens lehmann,4,computer architecture and data science,0
2H6O,red,11/11/19 19:39,chi-keung luk,17,machine learning,0
LKLR,green,11/11/19 19:39,eric li,2,computer science,0
5ITM,green,11/11/19 19:39,mark s fox,8,"Data model,Computer architecture,Data analysis,Semantic Web,Artificial intelligence",5
ZUMP,blue,11/11/19 19:39,andreas krall,1,programming,0
OH12,red,11/11/19 19:39,oriol vinyals,4,"Artificial intelligence,Machine learning,Deep learning,Pattern recognition",4
ES3R,yellow,11/11/19 19:39,mehdi mirza,13,"Artificial intelligence,Machine learning",2
9P3N,green,11/11/19 19:39,pedro domingos,6,"Computer architecture,Machine learning,Artificial intelligence,Computer vision",4
LHQ5,blue,11/11/19 19:39,gianni a. di caro,1,Artificial Intelligence,0
TYNN,yellow,11/11/19 19:39,vassos soteriou,15,computer architecture cyber security penetration testing,0
ES3R,yellow,11/11/19 19:39,mehdi mirza,13,"Artificial intelligence,Machine learning",2
N7P0,red,11/11/19 19:39,bernardo cuenca grau,11,computer architecture and data science,0
ES3R,yellow,11/11/19 19:39,tushar chandra,3,"Artificial intelligence,Machine learning",2
N7P0,red,11/11/19 19:39,yu zheng ( ),9,computer architecture and data science,0
ES3R,yellow,11/11/19 19:39,pedro domingos,4,"Artificial intelligence,Machine learning",2
N7P0,red,11/11/19 19:39,andrew putnam,5,computer architecture and data science,0
9P3N,green,11/11/19 19:39,dit-yan yeung,3,"Computer architecture,Machine learning,Artificial intelligence,Computer vision",4
5ITM,green,11/11/19 19:39,yolanda gil,15,"Data model,Computer architecture,Data analysis,Semantic Web,Artificial intelligence,Smart city",6
FDGO,red,11/11/19 19:39,marisa lopez-vallejo,4,computer architecture and related topics,0
DU58,green,11/11/19 19:39,zhi-hua zhou,1,"Computer architecture,Machine learning,Artificial intelligence",3
FDGO,red,11/11/19 19:39,marisa lopez-vallejo,4,computer architecture and related topics,0
LHQ5,blue,11/11/19 19:40,alcherio martinoli,2,Artificial Intelligence,0
45UW,blue,11/11/19 19:40,hugo larochelle,1,artificial intelligence and machine learning,0
TYNN,yellow,11/11/19 19:40,martin herbordt,2,computer architecture cyber security penetration testing,0
ES3R,yellow,11/11/19 19:40,eyke h llermeier,8,"Artificial intelligence,Machine learning",2
9P3N,green,11/11/19 19:40,zhi-hua zhou,4,"Computer architecture,Machine learning,Artificial intelligence,Computer vision",4
N7P0,red,11/11/19 19:40,jakub szefer,14,computer architecture and data science,0
FDGO,red,11/11/19 19:40,esam el-araby,9,computer architecture and related topics,0
HSWX,blue,11/11/19 19:40,gianni a. di caro,1,artificial intelligence,0
DU58,green,11/11/19 19:40,eyke h llermeier,6,"Computer architecture,Machine learning,Artificial intelligence,Data mining",4
ES3R,yellow,11/11/19 19:40,dit-yan yeung,14,"Artificial intelligence,Machine learning",2
ES3R,yellow,11/11/19 19:40,leon bottou,15,"Artificial intelligence,Machine learning",2
45UW,blue,11/11/19 19:40,dit-yan yeung,4,artificial intelligence and machine learning,0
LHQ5,blue,11/11/19 19:40,hugo larochelle,1,Artificial Intelligence and Machine Learning,0
CVVU,yellow,11/11/19 19:40,lynne e. parker,8,Artificial intelligence,1
45UW,blue,11/11/19 19:40,aaron sloman,6,artificial intelligence and machine learning,0
CVVU,yellow,11/11/19 19:41,george e. dahl,1,"Artificial intelligence,Neural network",2
OH12,red,11/11/19 19:41,dit-yan yeung,2,"Artificial intelligence,Machine learning,Deep learning,Pattern recognition",4
N7P0,red,11/11/19 19:41,martin herbordt,1,computer architecture,0
LHQ5,blue,11/11/19 19:41,amritpal singh,2,Artificial Intelligence and Machine Learning,0
HSWX,blue,11/11/19 19:41,alcherio martinoli,2,artificial intelligence and networks,0
N7P0,red,11/11/19 19:41,milos prvulovic,3,computer architecture,0
DU58,green,11/11/19 19:41,salvador garc a,3,"Computer architecture,Machine learning,Artificial intelligence,Data mining",4
OAEG,blue,11/11/19 19:41,gianni a. di caro,1,artificial intelligence,0
CVVU,yellow,11/11/19 19:42,klaus-robert m ller,2,"Artificial intelligence,Neural network,Machine learning",3
DU58,green,11/11/19 19:42,ioannis vlahavas,2,"Computer architecture,Machine learning,Artificial intelligence,Data mining",4
N7P0,red,11/11/19 19:42,kamakoti veezhinathan,6,computer architecture,0
C5ZL,blue,11/11/19 19:42,gianni a. di caro,4,artificial intelligence and machine learning and plant biology,0
TDFS,blue,11/11/19 19:42,ali farhadi,1,network security,0
DU58,green,11/11/19 19:42,ioannis vlahavas,1,"Computer architecture,Machine learning,Artificial intelligence,Data mining",4
C5ZL,blue,11/11/19 19:42,francisco herrera,2,artificial intelligence and machine learning and plant biology,0
TDFS,blue,11/11/19 19:42,todd austin,3,network security,0
C5ZL,blue,11/11/19 19:42,quoc v. le,5,artificial intelligence and machine learning and plant biology,0
CVVU,yellow,11/11/19 19:42,song han,8,",Neural network",2
OH12,red,11/11/19 19:42,klaus-robert m ller,6,"Artificial intelligence,Machine learning,Deep learning,Pattern recognition",4
QDRT,green,11/11/19 19:42,john hennessy,1,"Computer architecture,Embedded system",2
OAEG,blue,11/11/19 19:42,alcherio martinoli,2,artificial intelligence,0
OH12,red,11/11/19 19:42,sargur (hari) srihari,5,"Artificial intelligence,Machine learning,Deep learning,Pattern recognition",4
OAEG,blue,11/11/19 19:42,alcherio martinoli,2,artificial intelligence,0
C5ZL,blue,11/11/19 19:43,laurent itti,1,artificial intelligence and machine learning and plant biology,0
C5ZL,blue,11/11/19 19:43,laurent itti,1,artificial intelligence and machine learning and plant biology,0
TDFS,blue,11/11/19 19:43,li-wen chang,2,network security,0
OAEG,blue,11/11/19 19:43,bernardo cuenca grau,1,artificial intelligence and data,0
OH12,red,11/11/19 19:43,kenji suzuki,7,"Artificial intelligence,Machine learning,Deep learning,Pattern recognition",4
SK9V,green,11/11/19 19:43,john hennessy,1,"Computer architecture,Machine learning,Artificial intelligence",3
IKBJ,yellow,11/11/19 19:43,reid g. smith,1,Artificial intelligence,1
CVVU,yellow,11/11/19 19:43,alex graves,1,",Neural network",2
C5ZL,blue,11/11/19 19:43,gianni a. di caro,4,artificial intelligence and machine learning and plant biology,0
FGGG,blue,11/11/19 19:43,jaehyuk huh,6,artificial cloud,0
QDRT,green,11/11/19 19:43,rodolfo azevedo,2,"Computer architecture,Embedded system",2
FGGG,blue,11/11/19 19:43,hubertus franke,9,artificial cloud,0
FGGG,blue,11/11/19 19:43,babak falsafi,10,artificial cloud,0
QDRT,green,11/11/19 19:44,karthikeyan sankaralingam,3,"Computer architecture,Embedded system",2
CVVU,yellow,11/11/19 19:44,risto miikkulainen,6,",Neural network,Artificial intelligence",3
OAEG,blue,11/11/19 19:44,alcherio martinoli,2,artificial intelligence and data,0
TDFS,blue,11/11/19 19:44,ali farhadi,1,network security,0
QDRT,green,11/11/19 19:44,christophe bobda,4,"Computer architecture,Embedded system",2
IKBJ,yellow,11/11/19 19:44,peter norvig,2,Artificial intelligence,1
C5ZL,blue,11/11/19 19:44,quoc v. le,5,artificial intelligence and machine learning and plant biology,0
OAEG,blue,11/11/19 19:44,yu zheng ( ),3,artificial intelligence and data,0
CVVU,yellow,11/11/19 19:44,christian szegedy,3,",Neural network,Artificial intelligence",3
QDRT,green,11/11/19 19:44,david a. wood,5,"Computer architecture,Embedded system",2
C5ZL,blue,11/11/19 19:44,alcherio martinoli,9,artificial intelligence and machine learning and plant biology,0
SK9V,green,11/11/19 19:44,adrian cristal,2,"Computer architecture,Machine learning,Artificial intelligence",3
SK9V,green,11/11/19 19:45,karthikeyan sankaralingam,3,"Computer architecture,Machine learning,Artificial intelligence",3
C5ZL,blue,11/11/19 19:45,peter f. brown,10,artificial intelligence and machine learning and plant biology,0
OAEG,blue,11/11/19 19:45,jens lehmann,4,artificial intelligence and data,0
C5ZL,blue,11/11/19 19:45,hugo larochelle,12,artificial intelligence and machine learning and plant biology,0
C5ZL,blue,11/11/19 19:45,klaus-robert m ller,14,artificial intelligence and machine learning and plant biology,0
TYNN,yellow,11/11/19 19:45,george e. dahl,1,"Artificial intelligence,Deep learning,Neural network",3
SK9V,green,11/11/19 19:45,peter norvig,1,"Computer architecture,Machine learning,Artificial intelligence",3
IKBJ,yellow,11/11/19 19:45,aaron sloman,3,Artificial intelligence,1
TDFS,blue,11/11/19 19:45,dmitry ponomarev,3,computer security,0
C5ZL,blue,11/11/19 19:46,hugo larochelle,12,artificial intelligence and machine learning and plant biology,0
OAEG,blue,11/11/19 19:46,aaron sloman,6,artificial intelligence and data,0
TYNN,yellow,11/11/19 19:46,david warde-farley,2,"Artificial intelligence,Deep learning,Neural network,Machine learning,Pattern recognition",5
IKBJ,yellow,11/11/19 19:46,bruce buchanan,4,Artificial intelligence,1
SK9V,green,11/11/19 19:46,george e. dahl,8,"Computer architecture,Machine learning,Artificial intelligence",3
TYNN,yellow,11/11/19 19:46,klaus-robert m ller,3,"Artificial intelligence,Deep learning,Neural network,Machine learning,Pattern recognition",5
IKBJ,yellow,11/11/19 19:47,lotfi a. zadeh,5,Artificial intelligence,1
TYNN,yellow,11/11/19 19:47,david warde-farley,3,"Artificial intelligence,Deep learning,Neural network,Machine learning,Pattern recognition,Big data",6
TYNN,yellow,11/11/19 19:48,leon bottou,4,"Artificial intelligence,Deep learning,Neural network,Machine learning,Pattern recognition,Big data",6
TYNN,yellow,11/11/19 19:48,kenji suzuki,5,"Artificial intelligence,Deep learning,Neural network,Machine learning,Pattern recognition,Big data",6
TYNN,yellow,11/11/19 19:48,sepp hochreiter,6,"Artificial intelligence,Deep learning,Neural network,Machine learning,Pattern recognition,Big data",6
TYNN,yellow,11/11/19 19:49,dit-yan yeung,11,"Artificial intelligence,Deep learning,Neural network,Machine learning,Pattern recognition,Big data",6
LKLR,green,11/11/19 19:49,ruben s. montero,3,"Data analysis,Cloud computing,Data center,Power management,Artificial intelligence",5
TYNN,yellow,11/11/19 19:49,scott reed,16,"Artificial intelligence,Deep learning,Neural network,Machine learning,Pattern recognition,Big data",6
LKLR,green,11/11/19 19:49,luiz andr barroso,4,"Data analysis,Cloud computing,Data center,Power management,Artificial intelligence",5
TYNN,yellow,11/11/19 19:49,scott reed,16,"Artificial intelligence,Deep learning,Neural network,Machine learning,Pattern recognition,Big data",6
TYNN,yellow,11/11/19 19:50,oriol vinyals,13,"Artificial intelligence,Deep learning,Neural network,Machine learning,Pattern recognition,Big data",6
OH12,red,11/11/19 19:50,martin herbordt,1,computer architecture,0
OH12,red,11/11/19 19:51,eric li,2,computer architecture,0
OH12,red,11/11/19 19:51,milos prvulovic,3,computer architecture,0
OH12,red,11/11/19 19:52,kamakoti veezhinathan,6,computer architecture,0
OH12,red,11/11/19 19:53,eric li,2,computer architecture,0
OH12,red,11/11/19 19:53,khairulmizam samsudin,5,computer architecture,0
OH12,red,11/11/19 19:54,esam el-araby,9,computer architecture,0
OH12,red,11/11/19 19:55,jose jaime ruz ortiz,12,computer architecture,0
OH12,red,11/11/19 19:55,masaaki kondo,15,computer architecture,0
